run_id,time,node_id,x,y,neighbor_count,avg_rssi,tx_packets,rx_packets,lost_packets,delay_sum
14,2.0,28.0,79.97,237.394,5.0,-29.578,0,0,0,0.0
14,2.0,29.0,142.478,320.157,4.0,-40.12,0,0,0,0.0
14,3.0,0.0,104.032,25.474,2.0,-32.144,0,0,0,0.0
14,3.0,1.0,454.647,403.282,5.0,-40.801,0,0,0,0.0
14,3.0,2.0,38.934,169.139,3.0,-39.659,0,0,0,0.0
14,3.0,3.0,470.191,347.256,3.0,-37.109,0,0,0,0.0
14,3.0,4.0,259.52,343.849,0.0,-1000.0,0,0,0,0.0
14,3.0,5.0,136.796,279.011,6.0,-38.863,0,0,0,0.0
14,3.0,6.0,345.649,222.23,2.0,-27.037,0,0,0,0.0
14,3.0,7.0,325.608,26.244,5.0,-38.19,0,0,0,0.0
14,3.0,8.0,123.091,228.105,5.0,-36.827,0,0,0,0.0
14,3.0,9.0,349.146,229.451,2.0,-26.445,0,0,0,0.0
14,3.0,10.0,458.107,313.414,3.0,-37.995,0,0,0,0.0
14,3.0,11.0,133.338,375.602,3.0,-41.636,0,0,0,0.0
14,3.0,12.0,434.358,483.929,4.0,-38.095,0,0,0,0.0
14,3.0,13.0,106.19,9.211,1.0,-20.45,0,0,0,0.0
14,3.0,14.0,359.908,41.877,4.0,-38.144,0,0,0,0.0
14,3.0,15.0,79.513,204.027,5.0,-35.645,0,0,0,0.0
14,3.0,16.0,314.129,71.735,5.0,-34.655,0,0,0,0.0
14,3.0,17.0,318.724,113.217,5.0,-38.177,0,0,0,0.0
14,3.0,18.0,380.694,307.529,4.0,-42.283,0,0,0,0.0
14,3.0,19.0,156.465,464.93,1.0,-42.952,0,0,0,0.0
14,3.0,20.0,266.974,71.757,6.0,-37.311,0,0,0,0.0
14,3.0,21.0,486.03,475.141,2.0,-38.208,0,0,0,0.0
14,3.0,22.0,385.923,454.834,3.0,-35.537,0,0,0,0.0
14,3.0,23.0,164.192,122.167,1.0,-37.983,0,0,0,0.0
14,3.0,24.0,266.718,99.407,5.0,-36.726,0,0,0,0.0
14,3.0,25.0,193.838,66.561,4.0,-40.715,0,0,0,0.0
14,3.0,26.0,80.78,253.631,6.0,-36.326,0,0,0,0.0
14,3.0,27.0,368.338,478.327,2.0,-33.332,0,0,0,0.0
14,3.0,28.0,70.089,235.101,5.0,-34.011,0,0,0,0.0
14,3.0,29.0,155.119,314.291,4.0,-39.187,0,0,0,0.0
14,4.0,0.0,119.571,37.292,3.0,-37.311,0,0,0,0.0
14,4.0,1.0,443.446,395.613,5.0,-40.601,0,0,0,0.0
14,4.0,2.0,47.169,173.242,3.0,-38.645,0,0,0,0.0
14,4.0,3.0,466.632,331.722,3.0,-36.176,0,0,0,0.0
14,4.0,4.0,253.232,338.351,1.0,-42.708,0,0,0,0.0
14,4.0,5.0,120.916,281.675,6.0,-38.127,0,0,0,0.0
14,4.0,6.0,329.436,226.603,2.0,-28.808,0,0,0,0.0
14,4.0,7.0,316.992,25.487,3.0,-37.13,0,0,0,0.0
14,4.0,8.0,134.761,228.693,5.0,-38.943,0,0,0,0.0
14,4.0,9.0,339.143,226.328,2.0,-28.62,0,0,0,0.0
14,4.0,10.0,441.886,314.026,3.0,-35.11,0,0,0,0.0
14,4.0,11.0,132.121,362.21,3.0,-40.915,0,0,0,0.0
14,4.0,12.0,430.457,479.281,4.0,-38.298,0,0,0,0.0
14,4.0,13.0,120.489,12.808,1.0,-25.675,0,0,0,0.0
14,4.0,14.0,357.463,49.321,4.0,-39.571,0,0,0,0.0
14,4.0,15.0,73.424,211.942,5.0,-35.094,0,0,0,0.0
14,4.0,16.0,305.627,82.498,5.0,-35.533,0,0,0,0.0
14,4.0,17.0,312.164,128.117,5.0,-39.09,0,0,0,0.0
14,4.0,18.0,390.116,309.024,3.0,-40.056,0,0,0,0.0
14,4.0,19.0,163.675,450.417,1.0,-43.149,0,0,0,0.0
14,4.0,20.0,264.531,79.506,7.0,-38.446,0,0,0,0.0
14,4.0,21.0,481.446,470.345,3.0,-40.299,0,0,0,0.0
14,4.0,22.0,388.804,437.597,4.0,-38.571,0,0,0,0.0
14,4.0,23.0,173.881,118.233,4.0,-40.818,0,0,0,0.0
14,4.0,24.0,260.044,116.9,5.0,-37.104,0,0,0,0.0
14,4.0,25.0,198.497,80.001,4.0,-38.648,0,0,0,0.0
14,4.0,26.0,78.815,267.013,6.0,-37.846,0,0,0,0.0
14,4.0,27.0,363.246,477.443,2.0,-36.542,0,0,0,0.0
14,4.0,28.0,64.455,233.793,5.0,-34.691,0,0,0,0.0
14,4.0,29.0,167.76,308.426,5.0,-40.558,0,0,0,0.0
14,5.0,0.0,135.109,49.109,3.0,-37.34,0,0,0,0.0
14,5.0,1.0,432.244,387.943,6.0,-40.451,0,0,0,0.0
14,5.0,2.0,55.405,177.344,2.0,-34.989,0,0,0,0.0
14,5.0,3.0,463.072,316.189,3.0,-36.707,0,0,0,0.0
14,5.0,4.0,246.944,332.852,1.0,-39.92,0,0,0,0.0
14,5.0,5.0,105.036,284.34,6.0,-37.456,0,0,0,0.0
14,5.0,6.0,313.224,230.976,2.0,-31.912,0,0,0,0.0
14,5.0,7.0,308.376,24.73,3.0,-38.853,0,0,0,0.0
14,5.0,8.0,146.431,229.281,5.0,-40.738,0,0,0,0.0
14,5.0,9.0,329.14,223.205,2.0,-31.555,0,0,0,0.0
14,5.0,10.0,425.666,314.638,3.0,-32.626,0,0,0,0.0
14,5.0,11.0,130.904,348.818,4.0,-40.96,0,0,0,0.0
14,5.0,12.0,426.557,474.633,4.0,-38.693,0,0,0,0.0
14,5.0,13.0,134.788,16.406,1.0,-29.438,0,0,0,0.0
14,5.0,14.0,355.018,56.765,4.0,-40.818,0,0,0,0.0
14,5.0,15.0,67.335,219.856,5.0,-33.858,0,0,0,0.0
14,5.0,16.0,297.125,93.26,6.0,-37.412,0,0,0,0.0
14,5.0,17.0,305.603,143.016,6.0,-39.709,0,0,0,0.0
14,5.0,18.0,399.538,310.518,3.0,-35.517,0,0,0,0.0
14,5.0,19.0,170.884,435.904,1.0,-43.444,0,0,0,0.0
14,5.0,20.0,262.088,87.255,7.0,-38.233,0,0,0,0.0
14,5.0,21.0,476.862,465.549,3.0,-40.447,0,0,0,0.0
14,5.0,22.0,391.685,420.361,4.0,-38.937,0,0,0,0.0
14,5.0,23.0,183.569,114.3,4.0,-37.601,0,0,0,0.0
14,5.0,24.0,253.37,134.393,5.0,-37.134,0,0,0,0.0
14,5.0,25.0,203.156,93.442,5.0,-37.541,0,0,0,0.0
14,5.0,26.0,76.851,280.395,5.0,-36.847,0,0,0,0.0
14,5.0,27.0,358.154,476.558,2.0,-38.766,0,0,0,0.0
14,5.0,28.0,71.735,231.741,5.0,-33.286,0,0,0,0.0
14,5.0,29.0,180.4,302.56,4.0,-40.187,0,0,0,0.0
14,6.0,0.0,150.647,60.927,3.0,-36.924,0,0,0,0.0
14,6.0,1.0,421.043,380.274,6.0,-39.418,0,0,0,0.0
14,6.0,2.0,63.641,181.447,2.0,-34.73,0,0,0,0.0
14,6.0,3.0,459.513,300.655,3.0,-37.783,0,0,0,0.0
14,6.0,4.0,240.656,327.354,1.0,-36.592,0,0,0,0.0
14,6.0,5.0,89.156,287.005,5.0,-35.273,0,0,0,0.0
14,6.0,6.0,297.011,235.349,3.0,-37.073,0,0,0,0.0
14,6.0,7.0,299.76,23.973,3.0,-40.412,0,0,0,0.0
14,6.0,8.0,158.101,229.869,4.0,-41.432,0,0,0,0.0
14,6.0,9.0,319.136,220.082,3.0,-36.424,0,0,0,0.0
14,6.0,10.0,409.446,315.25,4.0,-29.016,0,0,0,0.0
14,6.0,11.0,129.687,335.427,4.0,-40.272,0,0,0,0.0
14,6.0,12.0,422.657,469.986,4.0,-39.203,0,0,0,0.0
14,6.0,13.0,149.088,20.003,1.0,-32.369,0,0,0,0.0
14,6.0,14.0,352.573,64.21,3.0,-40.899,0,0,0,0.0
14,6.0,15.0,61.247,227.771,5.0,-36.414,0,0,0,0.0
14,6.0,16.0,288.622,104.023,7.0,-38.419,0,0,0,0.0
14,6.0,17.0,299.043,157.916,5.0,-38.216,0,0,0,0.0
14,6.0,18.0,408.961,312.013,4.0,-29.264,0,0,0,0.0
14,6.0,19.0,178.094,421.391,1.0,-43.824,0,0,0,0.0
14,6.0,20.0,259.645,95.004,7.0,-37.915,0,0,0,0.0
